Sutarties sudarymo data;Perkanèioji Institucija;Pirkinys yra: prekës, paslaugos, darbai1;Pirkinio pavadinimas (Pavadinimas pagal BVPÞ kodà þodþiais);Matavimo vienetai;Kiekis;Sutarties vertë (Eur) su PVM (þodþiu sudarytos sutarties atveju-  sàskaitoje faktûroje ar kt  mokëjimo dokumente nurodyta vertë (Eur) su PVM);Pirkimo bûdas2;Laimëjusio dalyvio pavadinimas;BVPÞ kodas(Skaièiais);Sutarties ásipareigojimø dalis, kuriai laimëtojas ketina pasitelkti treèiuosius asmenis kaip subrangovus, subtiekëjus ar subtiekëjus
2016.01.11;Ðiauliø m. sav. administracija;Prekës;Ðiauliø m. civilinës saugos perspëjimo sirenomis sistemos prieþiûros paslauga;Mën;24,00;15000,00;AÞ;UAB ,,Fima'';75222000-8;Nëra
2016.05.05;Ðiauliø m. sav. administracija;Darbai;Informaciniø spaudiniø gyventojø ugdymo civilinës saugos (gaisrø prevencijos) klausimais;Vnt;1300,00;217,80;AÞ;UAB ,,INDIGO print'';79800000-2;Nëra
2016.05.24;Ðiauliø m. sav. administracija;Prekës;Gaisrø prevencijos priemoniø vykdymas Ðiauliø m. sav. teritorijos Rëkyvos eþero pakrantëse ir miðkuose;Mën;36,00;7000,00;AÞ;Rëkyvos ugniagesiø savanoriø draugija;75222000-8;Nëra
2016.03.04;Ðiauliø m. sav. administracija;Prekës;Gyvûnø prieþiûrai skirtos árangos prieþiûros paslaugos sutartis;Mën.;12,00;11000,00;SAR;"AB ""Specializuotas transportas""";98390000-3;Nëra
2016.01.04;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;82,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.01.18;Dainø progimnazija;Prekës;Mokymo priemonës;VNT;1,00;70,00;AÞ;Ainos Ambrazienës ámonë;39162100-6;
2016.01.19;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;2,00;50,72;VT;Ugniagesiø gelbëjimo mokykla;80000000-4 ;
2016.01.22;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;20,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.01.26;Dainø progimnazija;Prekës;Molis;Kg.;20,00;13,96;AÞ;UAB Keramika;14221000-6;
2016.01.29;Dainø progimnazija;Prekës;Kilimëliø nuoma;VNT;48,00;130,00;CPO;UAB Ðvarus pasaulis;39533000-7;
2016.01.31;Dainø progimnazija;Prekës;Elektros skirstymas;MËN;9,00;3500,00;CPO;UAB Energijos tiekimas;65310000-9;
2016.02.05;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;2,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.02.15;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;14,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.02.17;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;13,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.02.17;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;13,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.02.23;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;430,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.02.24;Dainø progimnazija;Prekës;Su kompiuteriais susijusi áranga;VNT;2,00;39,93;AÞ;UAB Biznio maðinø kompanija;30230000-0;
2015.12.21;Dainø progimnazija;Prekës;Popierius spauzdintuvams;VNT;30,00;78,86;CPO;UAB Novakopa;30197630-1;
2016.03.01;Dainø progimnazija;Prekës;Statybinës konstrukcijos ir medþiagos;VNT;11,00;23,56;AÞ;UAB IRIS ;44000000-0;
2016.03.04;Dainø progimnazija;Prekës;Elektros prekës;VNT;19,00;51,28;AÞ;"UAB ""Ðiauliø lyra""";42992000-6;
2016.03.17;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;2,00;32,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.03.18;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;17,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.03.22;Dainø progimnazija;Prekës;Ávairios statybinës medþiagos;VNT;327,00;34,22;AÞ;"UAB ""Ðiauliø lyra""";44190000-8;
2016.03.22;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;23,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.03.24;Dainø progimnazija;Prekës;Kabeliai;VNT;2,00;20,38;AÞ;UAB Skytech;44321000-6;
2016.03.30;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;17,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.04.01;Dainø progimnazija;Prekës;Grindø dangos;KV.M.;21,90;98,11;AÞ;UAB IRIS ;44112200-0;
2016.04.05;Dainø progimnazija;Prekës;Spausdintuvø kasetës;VNT;1,00;290,40;AÞ;UAB Biznio maðinø kompanija;30237310-5;
2016.04.06;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;2,00;36,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.04.07;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;17,00;136,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.04.08;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;40,60;VT;Panevëþio pedagogø ðvietimo centras;80000000-4 ;
2016.04.12;Dainø progimnazija;Prekës;Ávairios statybinës medþiagos;VNT;11,00;5,45;AÞ;"UAB ""Ðiauliø lyra""";44190000-8;
2016.04.13;Dainø progimnazija;Prekës;Ávairûs rankiniai árankiai;VNT;1,00;28,40;AÞ;"UAB ""Ðiauliø lyra""";44512000-2;
2016.04.14;Dainø progimnazija;Prekës;Raðomasis popierius;VNT;2,00;5,92;AÞ;UAB Euro biuras;30197620-8;
2016.04.14;Dainø progimnazija;Prekës;Mokykliniai vadovëliai;VNT;39,00;245,70;VT;"UAB ""Litterula""";22111000-1;
2016.04.20;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;8,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.04.21;Dainø progimnazija;Prekës;Mokykliniai vadovëliai;VNT;10,00;132,90;VT;UAB Alma littera sprendimai;22111000-1;
2016.04.28;Dainø progimnazija;Prekës;Braiþybos popierius;VNT;30,00;16,80;AÞ;UAB Euro biuras;30194320-4;
2016.04.29;Dainø progimnazija;Prekës;Popierius spauzdintuvams;VNT;30,00;74,05;CPO;UAB Officeday;30197630-1;
2016.05.05;Dainø progimnazija;Prekës;Mokykliniai vadovëliai;VNT;490,00;4089,18;VT;UAB Alma littera sprendimai;22111000-1;
2016.05.06;Dainø progimnazija;Prekës;Molis;Kg.;40,00;9,68;AÞ;UAB Keramika;14221000-6;
2016.05.10;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;2,00;62,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.05.10;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;40,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.05.10;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;30,00;VT;Vðá Valstybës institucijø kalbø centras;80000000-4 ;
2016.05.12;Dainø progimnazija;Prekës;Mokymo priemonës;VNT;35,00;31,90;AÞ;"K.Mickevièiaus leidykla ""Briedis""";39162100-6;
2016.05.13;Dainø progimnazija;Prekës;"Transporto paslaugos; kelioniø agentûrø paslaugos";VNT;1,00;852,50;NAR;UAB Kelioniø centras;63000000-9;
2016.05.13;Dainø progimnazija;Prekës;"Transporto paslaugos; kelioniø agentûrø paslaugos";VNT;2,00;926,20;NAR;UAB Kelioniø centras;63000000-9;
2016.05.24;Dainø progimnazija;Prekës;Glaistas;VNT;5,00;58,05;AÞ;UAB IRIS ;44831300-7;
2016.05.25;Dainø progimnazija;Prekës;Mokykliniai vadovëliai;VNT;7,00;93,03;VT;UAB Alma littera sprendimai;22111000-1;
2016.05.25;Dainø progimnazija;Prekës;Mokykliniai vadovëliai;VNT;288,00;2512,43;VT;UAB Alma littera sprendimai;22111000-1;
2016.05.25;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;429,00;VT;Ðiauliø Ðvietimo centras;80000000-4 ;
2016.05.31;Dainø progimnazija;Prekës;Ávairios statybinës medþiagos;VNT;19,00;117,14;AÞ;"UAB ""Jupojos statybinës medþiagos""";44190000-8;
2016.06.06;Dainø progimnazija;Prekës;Dienynai ir uþraðinës;VNT;30,00;38,16;VT;Ðiauliø Ðvietimo centras;22817000-0;
2016.06.07;Dainø progimnazija;Prekës;Mokymo priemonës;VNT;30,00;145,50;AÞ;"K.Mickevièiaus leidykla ""Briedis""";39162100-6;
2016.06.07;Dainø progimnazija;Prekës;Glaistas;VNT;5,00;99,18;AÞ;UAB IRIS ;44831300-7;
2016.06.08;Dainø progimnazija;Prekës;Grindø dangos;KM;13,00;54,60;AÞ;UAB IRIS ;44112200-0;
2016.06.09;Dainø progimnazija;Prekës;Mokykliniai vadovëliai;VNT;2,00;17,39;VT;UAB Alma littera sprendimai;22111000-1;
2016.06.09;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;1,00;20,00;VT;Lietuvos vaikø ir jaunimo centras;80000000-4 ;
2016.06.09;Dainø progimnazija;Prekës;Ávairios statybinës medþiagos;VNT;6,00;12,92;AÞ;"UAB ""Ðiauliø lyra""";44190000-8;
2016.06.10;Dainø progimnazija; Prekës;Mokykliniai baldai;VNT;122,00;3773,00;NAR;UAB Domi grupë ;39160000-1;
2016.06.15;Dainø progimnazija;Prekës;Ávairios statybinës medþiagos;VNT;10,00;30,16;AÞ;"UAB ""Ðiauliø lyra""";44190000-8;
2016.06.21;Dainø progimnazija;Prekës; Ðvietimo ir mokymo paslaugos;VNT;38,00;570,00;VT;Maþeikiø ðvietimo centras;80000000-4 ;
2016.06.21;Dainø progimnazija;Prekës;Ávairios statybinës medþiagos;VNT;8,00;28,19;AÞ;"UAB ""Ðiauliø lyra""";44190000-8;
2016.06.22;Dainø progimnazija;Prekës;Betonas;VNT;96,00;328,32;AÞ;"UAB ""Jupojos statybinës medþiagos""";44114000-2;
2016.06.22;Dainø progimnazija;Prekës;Daþai ;VNT;8,00;234,70;AÞ;"UAB ""Jupojos statybinës medþiagos""";44810000-1;
2016.06.22;Dainø progimnazija;Prekës;Ávairios statybinës medþiagos;VNT;4,00;14,36;AÞ;"UAB ""Ðiauliø lyra""";44190000-8;
2016.06.30;Dainø progimnazija;Prekës;Grindø dangos;KM;40,20;244,89;AÞ;UAB IRIS ;44112200-0;
2016.07.12;Dainø progimnazija;Prekës;Grindø dangos;KM;11,83;136,56;AÞ;UAB IRIS ;44112200-0;
2016.07.12;Dainø progimnazija;Prekës;Ávairios statybinës medþiagos;VNT;17,00;46,31;AÞ;"UAB ""Ðiauliø lyra""";44190000-8;
2016.01.08;Sutrikusios klausos vaikø ugdymo centras;Paslaugos;Mokomieji seminarai;Vnt.;1,00;28,00;AÞ;Ðiauliø m. ðvietimo centras;80522000;Ne
2016.01.13;Sutrikusios klausos vaikø ugdymo centras;Paslaugos;Remonto prieþiûros ir kitos paslaugos;Vnt.;5,00;116,50;AÞ;"UAB ,,Redo""";50300000;Ne
2016.01.15;Sutrikusios klausos vaikø ugdymo centras;Prekës;Mokymo priemonës;Vnt.;44,00;63,00;AÞ;"UAB ,,Officeday""";39162100;Ne
2016.01.12;Sutrikusios klausos vaikø ugdymo centras;Prekës;Ávairûs gaminiai;Vnt.;100,00;6,37;AÞ;Maxima LT, UAB;                                  44423000-1;Ne
2016.01.21;Sutrikusios klausos vaikø ugdymo centras;Prekës;Apskaitos knygos;Vnt.;4,00;9,27;AÞ;"UAB ,,Blankø leidykla""";22800000;Ne
2016.01.21;Sutrikusios klausos vaikø ugdymo centras;Prekës;Sveikatos prieþiûros ir I pag.mokymai;Vnt.;1,00;4,50;AÞ;"IÁ ,,Sveikatos mokymai""";80560000;Ne
2016.02.02;Sutrikusios klausos vaikø ugdymo centras;Prekës;Baldai;Vnt.;1,00;37,00;AÞ;"UAB,,Ðiauliø baldai""";39000000;Ne
2016.02.02;Sutrikusios klausos vaikø ugdymo centras;Prekës;Elektros árenginiai;Vnt.;1,00;8,50;AÞ;"UAB,,Lemona""";31600000;Ne
2016.02.02;Sutrikusios klausos vaikø ugdymo centras;Prekës;Ávairios statybinës medþiagos;Vnt.;2,00;5,98;AÞ;"UAB,, Jupojos statybinës medþiagos""";44190000;Ne
2016.02.02;Sutrikusios klausos vaikø ugdymo centras;Prekës;Paðto þenklai;Vnt.;5,00;1,99;AÞ;"AB ,,Lietuvos paðtas""";22410000;Ne
2016.02.08;Sutrikusios klausos vaikø ugdymo centras;Prekës;Ávairûs spaudiniai;Vnt.;21,00;67,25;CPO;"UAB ,,Officeday""";22900000;Ne
2016.02.02;Sutrikusios klausos vaikø ugdymo centras;Prekës;Elektros árenginiai;Vnt.;4,00;4,24;AÞ;"UAB,, Jupojos statybinës medþiagos""";31600000;Ne
2016.02.19;Sutrikusios klausos vaikø ugdymo centras;Prekës;Baldinës spynos;Vnt.;3,00;2,89;AÞ;"UAB,, Jupojos statybinës medþiagos""";44521140;Ne
2016.02.22;Sutrikusios klausos vaikø ugdymo centras;Prekës;Mokykliniai vadovëliai;Vnt.;6,00;38,04;AÞ;"UAB ,,Þiburio knygynas""";22111000;Ne
2016.02.25;Sutrikusios klausos vaikø ugdymo centras;Prekës;Biuro reikmenys;Vnt.;323,00;63,71;CPO;"UAB ,,Eurobiuras""";30192000;Ne
2016.02.25;Sutrikusios klausos vaikø ugdymo centras;Prekës;Remonto prieþiûros ir kitos paslaugos;Vnt.;2,00;31,00;AÞ;"UAB ,,Redo""";50300000;Ne
2016.02.25;Sutrikusios klausos vaikø ugdymo centras;Prekës;Valikliai ir poliravimo priemonës;Vnt.;126,00;66,78;CPO;"UAB ,,Koslita""";39800000;Ne
2016.02.25;Sutrikusios klausos vaikø ugdymo centras;Prekës;Biuro reikmenys;Vnt.;9,00;13,44;AÞ;"V.K.IÁ ,,Valarda""";30192000;Ne
2016.03.02;Sutrikusios klausos vaikø ugdymo centras;Prekës;Popieriniai higieninis gaminiai;Vnt.;122,00;57,21;CPO;"UAB ,,Libeta ir KO""";33760000;Ne
2016.03.04;Sutrikusios klausos vaikø ugdymo centras;Prekës;Paðto þenlkai;Vnt.;12,00;3,96;AÞ;"AB ,,Lietuvos paðtas""";22410000;Ne
2016.03.07;Sutrikusios klausos vaikø ugdymo centras;Prekës;Mokymo priemonës;Vnt.;27,00;14,24;AÞ;"UAB ,,Officeday""";39162100;Ne
2016.03.15;Sutrikusios klausos vaikø ugdymo centras;Prekës;Mokymo priemonës;Vnt.;17,00;50,00;AÞ;"UAB ,,Officeday""";39162100;Ne
2016.03.18;Sutrikusios klausos vaikø ugdymo centras;Prekës;Dulkiø siurblys;Vnt.;1,00;113,50;AÞ;"UAB ,,Senukø prekybos centras""";31600000;Ne
2016.03.18;Sutrikusios klausos vaikø ugdymo centras;Prekës;Valikliai ir poliravimo priemonës;Vnt.;10,00;19,35;AÞ;Maxima LT, UAB;39800000;Ne
2016.03.18;Sutrikusios klausos vaikø ugdymo centras;Prekës;Statybinës medþiagos ir árankiai;Vnt.;10,00;30,48;AÞ;"UAB ,,Ðiauliø lyra""";44190000;Ne
2016.03.22;Sutrikusios klausos vaikø ugdymo centras;Prekës;Mokomieji seminarai;Vnt.;1,00;23,00;AÞ;Ðiauliø m. ðvietimo centras;80522000;Ne
2016.03.29;Sutrikusios klausos vaikø ugdymo centras;Prekës;Ðvieèiantys þenklai ir iðkabos;Vnt.;3,00;4,00;AÞ;"UAB ,,Saugojus""";31523000;Ne
2016.03.29;Sutrikusios klausos vaikø ugdymo centras;Prekës;Elektra;Vnt.;1,00;4220,00;CPO;"UAB ,,Imlitex""";  09310000-5;Ne
2016.04.04;Sutrikusios klausos vaikø ugdymo centras;Prekës;Biuro reikmenys;Vnt.;44,00;33,35;AÞ;"UAB ,,Officeday""";30192000;Ne
2016.04.11;Sutrikusios klausos vaikø ugdymo centras;Prekës;Smëlis;Kub.;3,00;41,14;AÞ;"UAB ,,Patrauka""";                                  14211000-3;Ne
2016.04.13;Sutrikusios klausos vaikø ugdymo centras;Prekës;Elektros árenginiai;Vnt.;1,00;9,99;AÞ;"UAB,,Lemona""";31600000;Ne
2016.04.18;Sutrikusios klausos vaikø ugdymo centras;Prekës;Mokomieji seminarai;Vnt.;1,00;30,00;AÞ;"VÐÁ ,,Vaiko labui""";80522000;Ne
2016.04.14;Sutrikusios klausos vaikø ugdymo centras;Prekës;Mokomieji seminarai;Vnt.;1,00;10,00;AÞ;Ðiauliø univ. Tæstiniø studijø institutas;80522000;Ne
2016.04.16;Sutrikusios klausos vaikø ugdymo centras;Prekës;Remonto prieþiûros ir kitos paslaugos;Vnt.;1,00;13,00;AÞ;"UAB ,,Redo""";50300000;Ne
2016.04.20;Sutrikusios klausos vaikø ugdymo centras;Prekës;Mokymo priemonës;Vnt.;9,00;20,00;AÞ;"UAB ,,Officeday""";39162100;Ne
2016.04.21;Sutrikusios klausos vaikø ugdymo centras;Prekës;Dirvoþemis;m³;4,00;84,00;AÞ;"UAB ,,Ðiauliø apþeldinimas""";  14212400-4;Ne
2016.04.21;Sutrikusios klausos vaikø ugdymo centras;Prekës;Plastikiniai gaminiai;Vnt.;7,00;14,39;AÞ;Maxima LT, UAB;  19520000-7;Ne
2016.04.22;Sutrikusios klausos vaikø ugdymo centras;Prekës;Ávairûs spaudiniai;Vnt.;21,00;61,24;CPO;"UAB ,,Officeday""";22900000;Ne
2016.04.23;Sutrikusios klausos vaikø ugdymo centras;Prekës;Biuro reikmenys;Vnt.;15,00;15,72;AÞ;"UAB ,,Officeday""";30192000;Ne
2016.04.23;Sutrikusios klausos vaikø ugdymo centras;Prekës;Ávairios statybinës medþiagos;Vnt.;32,00;138,34;AÞ;"UAB,, Jupojos statybinës medþiagos""";44490000;Ne
2016.04.25;Sutrikusios klausos vaikø ugdymo centras;Prekës;Ándø plovimo priemonës;Vnt.;55,00;47,22;AÞ;Maxima LT, UAB;39832000;Ne
2016.04.26;Sutrikusios klausos vaikø ugdymo centras;Prekës;Mokomieji seminarai;Vnt.;1,00;25,00;AÞ;"VÐÁ ,,Tikra mityba""";80522000;Ne
2016.04.27;Sutrikusios klausos vaikø ugdymo centras;Prekës;Mokomieji seminarai;Vnt.;1,00;10,00;AÞ;Ðiauliø m. ðvietimo centras;80522000;Ne
2016.04.27;Sutrikusios klausos vaikø ugdymo centras;Prekës;Popieriniai higieniniai gaminiai;Vnt.;155,00;60,69;AÞ;"UAB ,,Libeta ir KO""";33760000;Ne
2016.05.02;Sutrikusios klausos vaikø ugdymo centras;Prekës;Apskaitos knygos;Vnt.;3,00;4,80;AÞ;"UAB ,,Blankø leidykla""";22800000;Ne
2016.05.03;Sutrikusios klausos vaikø ugdymo centras;Prekës;Augalai;Vnt.;5,00;31,15;AÞ;"UAB ,,Alandus""";                                   03451000-6;Ne
2016.05.05;Sutrikusios klausos vaikø ugdymo centras;Prekës;Biuro reikmenys;Vnt.;5,00;50,00;AÞ;"UAB ,,Officeday""";30192000;Ne
2016.05.09;Sutrikusios klausos vaikø ugdymo centras;Prekës;Spynos, raktai, vyriai;Vnt.;4,00;5,78;AÞ;"UAB ,,Ðiauliø lyra""";44520000;Ne
2016.05.09;Sutrikusios klausos vaikø ugdymo centras;Prekës;Aplinkosauginës paslaugos;Vnt.;1,00;140,00;;"UAB ,,Ðiauliø apþeldinimas""";90700000;Ne
2016.05.09;Sutrikusios klausos vaikø ugdymo centras;Prekës;Ávairûs spaudiniai;Vnt.;100,00;7,26;AÞ;"UAB ,,Blankø leidykla""";22900000;Ne
2016.05.10;Sutrikusios klausos vaikø ugdymo centras;Prekës;Èiaupai, ventyliai ir voþtuvai;Vnt.;1,00;2,40;AÞ;"UAB ,,Ðiauliø lyra""";  42131000-6;Ne
2016.05.11;Sutrikusios klausos vaikø ugdymo centras;Prekës;Ðluotos, ðepeèiai ir kiti namø valymo reikmenys;Vnt.;20,00;51,63;AÞ;"UAB ,,Ðiauliø lyra"""; 39224300-1;Ne
2016.05.12;Sutrikusios klausos vaikø ugdymo centras;Prekës;Mokomieji seminarai;Vnt.;1,00;40,00;AÞ;"VÐÁ ,,Lazdijø ðvietimo namai""";80522000;Ne
2016.05.12;Sutrikusios klausos vaikø ugdymo centras;Prekës;Bakteriologiniø tyrimø paslaugos;Vnt.;1,00;9,59;AÞ;Nacionalinë vis. Sveik. prieþ. Laborat.; 85111820-4;
2016.05.13;Sutrikusios klausos vaikø ugdymo centras;Prekës;Augalai;Vnt.;11,00;63,00;AÞ;"UAB ,,Ðiauliø apþeldinimas""";  03451000-6;Ne
2016.05.13;Sutrikusios klausos vaikø ugdymo centras;Prekës;Degalai;L;20,62;23,33;AÞ;"UAB ,,L UKOIL BALTIJA"""; 09132000-3;Ne
2016.05.18;Sutrikusios klausos vaikø ugdymo centras;Prekës;Remonto prieþiûros ir kitos paslaugos;Vnt.;2,00;25,99;AÞ;"UAB ,,Redo""";50300000;Ne
2016.05.18;Sutrikusios klausos vaikø ugdymo centras;Prekës;Mokymo priemonës;Vnt.;47,00;38,10;AÞ;"UAB ,,Officeday""";39162100;Ne
2016.05.23;Sutrikusios klausos vaikø ugdymo centras;Prekës;Popieriniai higieniniai gaminiai;Vnt.;100,00;11,50;;Rimo Stankaus IÁ;33760000;Ne
2016.05.23;Sutrikusios klausos vaikø ugdymo centras;Prekës;Stiklo veidrodþiai;Vnt.;1,00;18,56;AÞ;"E.G.PPÁ ,,Stiklas""";39299300-7;Ne
2016.05.26;Sutrikusios klausos vaikø ugdymo centras;Prekës;Rankiniai árankiai;Vnt.;1,00;3,47;AÞ;"UAB ,,Ðiauliø lyra""";44511500;Ne
2016.05.26;Sutrikusios klausos vaikø ugdymo centras;Prekës;Lovos, patalynë ir spec. baldø reikmenys;Vnt.;124,00;199,50;AÞ;"UAB soc. Ám. ,,Negalia""";39143110;Ne
2016.05.26;Sutrikusios klausos vaikø ugdymo centras;Prekës;Vienkartiniai maiðai;Vnt.;1,00;4,90;AÞ;"UAB ,,Viskas pakuotei""";                                   18938000-3;Ne
2016.05.26;Sutrikusios klausos vaikø ugdymo centras;Prekës;Mokomieji seminarai;Vnt.;1,00;10,00;AÞ;Ðiauliø m. ðvietimo centras;80522000;Ne
2016.06.03;Sutrikusios klausos vaikø ugdymo centras;Prekës;Ávairios statybinës medþiagos;Vnt.;4,00;21,02;AÞ;"UAB ,,Ðiauliø lyra""";44490000;Ne
2016.06.07;Sutrikusios klausos vaikø ugdymo centras;Prekës;Ávairûs spaudiniai;Vnt.;21,00;59,71;CPO;"UAB ,,Eurobiuras""";22900000;Ne
2016.06.07;Sutrikusios klausos vaikø ugdymo centras;Prekës;Higienos reikmenys;Vnt.;15,00;39,70;AÞ;"UAB ,,Vaikutis""";44411000;Ne
2016.06.07;Sutrikusios klausos vaikø ugdymo centras;Prekës;Ávairios statybinës medþiagos;m²;47,88;330,71;AÞ;"UAB,, Jupojos statybinës medþiagos""";44411000;Ne
2016.06.07;Sutrikusios klausos vaikø ugdymo centras;Prekës;Statybinës medþiagos ir panaðûs gaminiai;Vnt.;8,00;30,93;AÞ;"UAB,, Jupojos statybinës medþiagos""";44100000;Ne
2016.06.07;Sutrikusios klausos vaikø ugdymo centras;Prekës;Dekoratyviniai patalpø objektai;Vnt.;10,00;95,84;AÞ;"UAB,, Jupojos statybinës medþiagos""";39200000;Ne
2016.06.07;Sutrikusios klausos vaikø ugdymo centras;Prekës;Dienynai ir uþraðinës;Vnt.;36,00;101,74;;Ðiauliø m. ðvietimo centras;22817000;Ne
2016.06.07;Sutrikusios klausos vaikø ugdymo centras;Prekës;Statybinës medþiagos irpanaðûs gaminiai;Vnt.;14,00;98,16;AÞ;"UAB,, Jupojos statybinës medþiagos""";44100000;Ne
2016.06.10;Sutrikusios klausos vaikø ugdymo centras;Prekës;Statybinës medþiagos ir panaðûs gaminiai;Vnt.;3,00;7,32;AÞ;"UAB ,,Ðiauliø lyra""";44100000;Ne
2016.06.10;Sutrikusios klausos vaikø ugdymo centras;Prekës;Apskaitos knygos;Vnt.;2,00;6,80;AÞ;"UAB ,,Blankø leidykla""";22800000;Ne
2016.06.10;Sutrikusios klausos vaikø ugdymo centras;Prekës;Valikliai ir poliravimo priemonës;Vnt.;70,00;50,60;AÞ;Maxima LT, UAB;39800000;Ne
2016.06.14;Sutrikusios klausos vaikø ugdymo centras;Prekës;Biuro reikmenys;Vnt.;12,00;5,49;AÞ;"UAB ,,Officeday""";30192000;Ne
2016.06.20;Sutrikusios klausos vaikø ugdymo centras;Prekës;Muzikos instrumentai;Vnt.;2,00;56,00;AÞ;"UAB ,,Garsas LT""";37310000;Ne
2016.06.23;Sutrikusios klausos vaikø ugdymo centras;Prekës;Þaislai;Vnt.;19,00;147,50;AÞ;"UAB ,,Kesko senukai Lithuania""";37520000;Ne
2016.07.07;Sutrikusios klausos vaikø ugdymo centras;Prekës;Interneto paslaugos;Vnt.;13,00;53,41;AÞ;"UAB ,,Interneto vizija""";72400000;Ne
2016.07.07;Sutrikusios klausos vaikø ugdymo centras;Prekës;Remonto prieþiûros ir kitos paslaugos;Vnt.;3,00;31,51;AÞ;"UAB ,,Redo""";50300000;Ne
2016.07.14;Sutrikusios klausos vaikø ugdymo centras;Prekës;Ávairûs spaudiniai;Vnt.;13,00;113,00;AÞ;"UAB ,,VIPsupply""";22900000;Ne
2016.01.04;L/d “Þiogelis”;Prekës;Vidaus durys;Vnt;2,00;361,95;AÞ;UAB „Duruva“;44221200-7;
2016.01.04;L/d “Þiogelis”;Prekës;Prieðgaisrinës sistemos remontas;Vnt;1,00;25,64;AÞ;UAB „Argus“;50000000-5;
2016.01.19;L/d “Þiogelis”;Prekës;El.paraðo programinës árangos palaikymas;Vnt;2,00;8,23;AÞ;Valstybës ámonë Registrø centras;72000000-5;
2016.02.01;L/d “Þiogelis”;Prekës;Maistinis termometras;Vnt;1,00;7,53;AÞ;AB „Vilniaus metrologijos centras“ Ðiauliø filialas;39220000-0;
2016.02.01;L/d “Þiogelis”;Prekës;Termometrø patikra;Vnt;1,00;9,63;AÞ;AB „Vilniaus metrologijos centras“ Ðiauliø filialas;51200000-4;
2016.02.01;L/d “Þiogelis”;Prekës;Seminaras;Vnt;1,00;25,00;AÞ;VÐÁ „Juoda avis“;80590000-6;
2016.02.04;L/d “Þiogelis”;Prekës;Kanceliarinës prekës;Vnt;8,00;34,96;AÞ;UAB „Charlot LT“;30190000-7;
2016.02.11;L/d “Þiogelis”;Prekës;Atliekø iðveþimo paslauga;Vnt;1,00;750,00;KITA;UAB „Amazis“;90512000-9;
2016.02.11;L/d “Þiogelis”;Prekës;Kanceliarinës prekës;Vnt;87,00;108,73;KITA;UAB „Office system“;30190000-7;
2016.02.10;L/d “Þiogelis”;Prekës;Domenas (darzelis.lt)   ;Vnt;1,00;11,92;AÞ;UAB „Cloudlix“;72000000-5;
2016.02.16;L/d “Þiogelis”;Prekës;Hostingas 4 Gz;Vnt;1,00;83,41;AÞ;UAB „Cloudlix“;72000000-5;
