Data;Institucija;Pirkinys yra:;Pirkinio pavadinimas;Matavimo vienetai;Kiekis;Sutarties vertë (Eur) su PVM (þodþiu sudarytos sutarties atveju-  sàskaitoje faktûroje ar kt  mokëjimo dokumente nurodyta vertë (Eur) su PVM);Pirkimo bûdas;Laimëjusio dalyvio pavadinimas;BVPÞ kodas.;Sutarties ásipareigojimø dalis, kuriai laimëtojas ketina pasitelkti treèiuosius asmenis kaip subrangovus, subtiekëjus ar subteikëjus
2016.01.04;Stasio Ðalkauskio gimnazija;Prekës;Grudu maluno produktai, krakmolas ir krakmolo gaminiai;Kg (kilogramai);3120;2089,17;Skelbiama apklausa raðtu;"UAB ""Vilguva""";15600000-4 ;NËRA
2016.01.04;Stasio Ðalkauskio gimnazija;Prekës;Duonos gaminiai, ðvieþi kepiniai ir pyrago gaminiai;Kg (kilogramai);9646;20129,6;Skelbiama apklausa raðtu;"UAB ""Senoji eglë""";15810000-9;NËRA
2016.01.04;Stasio Ðalkauskio gimnazija;Prekës;Gyvûninës kilmës produktai, mësa ir mësos produktai;Kg (kilogramai);8711;22658,5;Skelbiama apklausa raðtu;"UAB ""Sanitex""";15100000-9 ;NËRA
2016.01.04;Stasio Ðalkauskio gimnazija;Prekës;Pieno produktai;Kg (kilogramai);5078;13213,5;Skelbiama apklausa raðtu;"UAB ""Sanitex""";15500000-3 ;NËRA
2016.01.04;Stasio Ðalkauskio gimnazija;Prekës;Javai, bulves, darþoves, vaisiai ir rieðutai;Kg (kilogramai);20515;17558,54;Skelbiama apklausa raðtu;"UAB ""Sanitex""";03200000-3;NËRA
2016.01.04;Stasio Ðalkauskio gimnazija;Prekës;Paruoðta ir konservuota þuvis;Kg (kilogramai);790;2910,2;Skelbiama apklausa raðtu;"UAB ""Sanitex""";15200000-0 ;NËRA
2016.01.04;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Prekës;Gyvulinës kilmës produktai, mësa ir mësos produktai;Mën (mënesiai);12;3226,76;Supaprastintas atviras konkursas;"UAB ,,Senoji eglë""";15100000;Nepasitelkë
2016.01.04;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Prekës;Pieno produktai;Mën (mënesiai);12;4520,88;Supaprastintas atviras konkursas;"AB ,,Þemaitijos pienas""";15500000;Ne
2016.01.04;Plaukimo mokykla „Delfinas“;Prekës;Smulki biuro áranga;pak.;7;27,12;Apklausa þodþiu;UAB Charlot LT;30197000-6;Nepasitelkiama
2016.01.05;Stasio Ðalkauskio gimnazija;Prekës; Ivairus maisto produktai;Kg (kilogramai);5793;10998,95;Skelbiama apklausa raðtu;"UAB ""Sanitex""";15800000-6;NËRA
2016.01.05;Stasio Ðalkauskio gimnazija;Prekës;Vaisiu ir darþoviu sultys;l (litrai);3780;2600;Skelbiama apklausa raðtu;"UAB ""Sanitex""";15320000-7 ;NËRA
2016.01.05;Stasio Ðalkauskio gimnazija;Prekës; Nealkoholiniai gerimai;l (litrai);9620;8703,8;Skelbiama apklausa raðtu;"UAB ""Sanitex""";15980000-1;NËRA
2016.01.05;BÁ Ðiauliø miesto savivaldybës Socialiniø paslaugø centras;Paslaugos;Paðto paslaugos, susijusios su laiðkais;Vnt. (vienetai);4;2,16;Apklausa þodþiu;"AB ""Lietuvos paðtas""";64112000-4;-
2016.01.05;Plaukimo mokykla „Delfinas“;Prekës;Popieriniai arba kartoniniai þurnalai, apskaitos knygos, segtuvai,blankai ir kiti spausdinti raðtinës reikmenys;Vnt. (vienetai);30;29,75;Apklausa þodþiu;"UAB ""Blankø leidykla""";22800000-8;Nepasitelkiama
2016.01.05;Plaukimo mokykla „Delfinas“;Paslaugos;Laikraðèiai, dienraðèiai, periodiniai leidiniai ir þurnalai;Vnt. (vienetai);4;156,4;Apklausa þodþiu;"UAB ""Naujoji tvarka""";22200000-2;Nepasitelkiama
2016.01.06;Ðiauliø futbolo akademija;Prekës;Elektros árenginiai ir aparatai;Vnt. (vienetai);4;170,82;Apklausa þodþiu;UAB Gusto prekyba;331600000-2 ;-
2016.01.06;Plaukimo mokykla „Delfinas“;Paslaugos;Gyvenamojo nekilnojamojo turto nuomos ar lizingo paslaugos;Vnt. (vienetai);1;500;Apklausa þodþiu;M.Bûtëno IÁ;70210000-6;Nepasitelkiama
2016.01.06;Plaukimo mokykla „Delfinas“;Prekës;Geriamasis vanduo;Vnt. (vienetai);4;6,95;Apklausa þodþiu;"UAB ""Sidabrinë srovë""";41110000-3;Nepasitelkiama
2016.01.06;Plaukimo mokykla „Delfinas“;Prekës;Laikraðèiai, dienraðèiai, periodiniai leidiniai ir þurnalai;Vnt. (vienetai);1;96;Apklausa þodþiu;"UAB ""Apskaitis ir audito þinios""";22200000-2;Nepasitelkiama
2016.01.07;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Paslaugos;Pastatø nuomos ar pardavimo paslauga;Val.;1;9;Apklausa þodþiu;Daugiabuèio namo Vytauto g. 63 savininkø bendrija;70311000;Ne
2016.01.07;Plaukimo mokykla „Delfinas“;Paslaugos;Gyvenamojo nekilnojamojo turto nuomos ar lizingo paslaugos;Vnt. (vienetai);1;67,81;Apklausa þodþiu;"UAB ""Lietavira""";70210000-6;Nepasitelkiama
2016.01.07;Plaukimo mokykla „Delfinas“;Prekës;Geriamasis vanduo;Vnt. (vienetai);4;5,21;Apklausa þodþiu;"UAB ""Sidabrine srovë""";41110000-3;Nepasitelkiama
2016.01.08;Stasio Ðalkauskio gimnazija;Paslaugos;Keleiviniu transporto priemoniu nuoma su vairuotoju;KELIONIØ KIEKIS;1;450;Neskelbiama apklausa raðtu;"UAB ""Kelioniø era""";60170000-0;NËRA
2016.01.08;Plaukimo mokykla „Delfinas“;Paslaugos;Surenkamøjø struktûrø surinkimas ir statymas;Vnt. (vienetai);42;39,69;Apklausa þodþiu;"UAB ""Ramirent""";45223800-4;Nepasitelkiama
2016.01.08;Plaukimo mokykla „Delfinas“;Prekës;Laikraðèiai, dienraðèiai, periodiniai leidiniai ir þurnalai;Vnt. (vienetai);1;68,2;Apklausa þodþiu;"UAB ""Ðiauliø naujienos""";22200000-2;Nepasitelkiama
2016.01.11;Vieðosios tvarkos ir civilinës saugos skyrius;Paslaugos;Ðiauliø miesto civilinës saugos perspëjimo sirenomis sistemos prieþiûros paslauga;Mën (mënesiai);24;15000;Apklausa þodþiu;UAB ,,FIMA'';75222000-8;Nëra
2016.01.11;Dainavimo mokykla „Dagilëlis“;Paslaugos;Miesto ir tolimojo susisiekimo autobusø nuoma su vairuotoju;KM;448.7;423,49;Apklausa þodþiu;"UAB ""Transbusas""";60172000-4;-
2016.01.12;Ðiauliø futbolo akademija;Prekës;Farmacijos produktai;Vnt. (vienetai);26;30,53;Apklausa þodþiu;UAB Jautros vaistinë;"33600000-6; 33764000-3; 33141110-4";-
2016.01.12;Plaukimo mokykla „Delfinas“;Prekës;"Smulki biuro áranga	Ðiauliø plaukimo mokykla „Delfinas“";Vnt. (vienetai);107;48,19;Apklausa þodþiu;"UAB ""Charlot LT""";30197000-6;Nepasitelkiama
2016.01.13;Plaukimo mokykla „Delfinas“;Prekës;Plaukymo baseinø árenginiai;Vnt. (vienetai);12;96,05;Apklausa þodþiu;"UAB ""Optika ir technologija""";43324100-1;Nepasitelkiama
2016.01.14;Ðiauliø futbolo akademija;Paslaugos;Specialistø mokymo paslaugos ;Vnt. (vienetai);1;63;Apklausa þodþiu;Lietuvos sporto universitetas;80510000-2;-
2016.01.14;Plaukimo mokykla „Delfinas“;Paslaugos;Gyvenamojo nekilnojamojo turto nuomos ar lizingo ;Vnt. (vienetai);1;150;Apklausa þodþiu;"MB ""Simona house""";70210000-6;Nepasitelkiama
2016.01.15;Plaukimo mokykla „Delfinas“;Prekës;Sporto prekës ir reikmenys;Vnt. (vienetai);19;214,49;Apklausa þodþiu;"UAB ""Niksë""";37400000-2;Nepasitelkiama
2016.01.18;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Prekës;Statybinës medþiagos ir panaðûs gaminiai;Mën (mënesiai);36;3000;Apklausa þodþiu;"UAB ,,Ðiauliø lyra""";44100000;Ne
2016.01.18;Ðiauliø futbolo akademija;Paslaugos;Specialistø mokymo paslaugos ;Dalyvis;1;410;Apklausa þodþiu;Ðiauliø m. savivaldybës ÐC;80510000-2;-
2016.01.19;Ðiauliø futbolo akademija;Prekës;Buitiniai elektros prietaisai maisto produktams;Vnt. (vienetai);1;14,99;Apklausa þodþiu;UAB Topo grupë;39711000-9;-
2016.01.19;Plaukimo mokykla „Delfinas“;Paslaugos;Darbuotojø mokymo paslaugos;Vnt. (vienetai);1;60;Apklausa þodþiu;"UAB ""Verslo aljansas""";80511000-9;Nepasitelkiama
2016.01.19;Plaukimo mokykla „Delfinas“;Paslaugos;Apsaugos paslaugos;Vnt. (vienetai);1;59,59;Apklausa þodþiu;"UAB ""Apsaugos komanda""";79710000-4;Nepasitelkiama
2016.01.19;Plaukimo mokykla „Delfinas“;Paslaugos;Laboratorijø paslaugos;Vnt. (vienetai);1;66,07;Apklausa þodþiu;Nacionalinë visuomenës sveikatos prieþiûros laboratorija;71900000-7;Nepasitelkiama
2016.01.20;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Paslaugos;Sveikatos prieþiûros ir pirmos pagalbos mokymai;Mën (mënesiai);12;4,5;Apklausa þodþiu;"IÁ ,,Sveikatos mokymai""";80560000;Ne
2016.01.20;Ðiauliø futbolo akademija;Prekës;"Auðinimo preparatai; Riebalai ir tepalai";Vnt. (vienetai);4;34,7;Apklausa þodþiu;UAB Apsaga;"24951311-8; 24951000-5";-
2016.01.20;Ðiauliø futbolo akademija;Prekës;"Auðinimo preparatai; Riebalai ir tepalai; Specializuoti chemijos produktai";Vnt. (vienetai);5;34,7;Apklausa þodþiu;UAB Apsaga;"24951311-8; 24951000-5; 24950000-8";-
2016.01.20;Ðiauliø futbolo akademija;Paslaugos;Gaisrø gesinimo árenginiø prieþiûros paslaugos;Vnt. (vienetai);4;25,26;Neskelbiama apklausa raðtu;UAB Nirlita;50413200-5;-
2016.01.20;Lopðelis - darþelis „Bangelë“;Prekës;Ávairios statybinës medþiagos;Mën (mënesiai);36;8000;Apklausa þodþiu;"UAB ""Ðiauliø lyra""";44190000-8;Nëra
2016.01.21;Sporto mokykla „Dubysa“;Prekës;Spausdintos knygos, broðiûros, lankstinukai (mokomieji þurnalai (knygelës)treneriams;Vnt. (vienetai);34;69,58 Eur;Apklausa þodþiu;UAB Ðiauliø spaustuvë;22100000-1;nesitelkia
2016.01.21;Plaukimo mokykla „Delfinas“;Paslaugos;Remonto ir prieþiûros darbai, susijæ su sporto statiniais;Vnt. (vienetai);1;346,06;Apklausa þodþiu;"UAB ""Fonogra""";45212290-5;Nepasitelkiama
2016.01.22;Ðiauliø futbolo akademija;Paslaugos;Specialistø mokymo paslaugos;Mën (mënesiai);2;40;Apklausa þodþiu;Ðiauliø m. savivaldybës ÐC;80510000-2;-
2016.01.22;Plaukimo mokykla „Delfinas“;Paslaugos;Fizinës gerovës paslaugos;Vnt. (vienetai);11;19,8;Apklausa þodþiu;Asociacija Margirio sporto ir reakreacijos klubas;98330000-5;Nepasitelkiama
2016.01.22;Plaukimo mokykla „Delfinas“;Paslaugos;Sporto renginiø reklamos paslaugos;Vnt. (vienetai);1;35;Apklausa þodþiu;UAB „Sporto infrastruktûra;92621000-0;Nepasitelkiama
2016.01.25;Ðiauliø futbolo akademija;Paslaugos;Keleiviø transporto priemoniø nuoma su vairuotoju;Vnt. (vienetai);1;200;Apklausa þodþiu;UAB LL Mediena;60170000-0;-
2016.01.25;Plaukimo mokykla „Delfinas“;Paslaugos;Mokomieji seminarai;Vnt. (vienetai);1;95,59;Apklausa þodþiu;UAB „Mokesèiø srautas;80522000-9;Nepasitelkiama
2016.01.25;Plaukimo mokykla „Delfinas“;Paslaugos;Dezinfekavimo ir naikinimo paslaugos;Vnt. (vienetai);1;80;Apklausa þodþiu;UAB „Ðiauliø dezinfektoriø brigada„;90921000-9;Nepasitelkiama
2016.01.25;Plaukimo mokykla „Delfinas“;Paslaugos;Dezinfekavimo ir naikinimo paslaugos;Vnt. (vienetai);1;10,72;Apklausa þodþiu;UAB „Ðiauliø dezinfektoriø brigada;90921000-9;Nepasitelkiama
2016.01.26;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Paslaugos;Telefono ryðio ir duomenø perdavimo paslauga;Mën (mënesiai);12;36;Apklausa þodþiu;"UAB ,,Tele 2""";64210000;Ne
2016.01.26;Ðiauliø futbolo akademija;Prekës;Elektros árenginiai ir aparatai;Vnt. (vienetai);3;276,89;Apklausa þodþiu;UAB Gusto prekyba;31600000-2;-
2016.01.26;Plaukimo mokykla „Delfinas“;Paslaugos;Sportinës paslaugos;Vnt. (vienetai);105;126;Apklausa þodþiu;VÁ Alytaus sporto ir reakreacijos centras;92600000-7;Nepasitelkiama
2016.01.26;Plaukimo mokykla „Delfinas“;Prekës;Krovininiø automobiliø, furgonø ir automobiliø atsarginës dalys;Vnt. (vienetai);1;3,15;Apklausa þodþiu;"UAB ""Transalda""";34330000-9;Nepasitelkiama
2016.01.27;BÁ Ðiauliø miesto savivaldybës Socialiniø paslaugø centras;Paslaugos;Civilinës atsakomybës draudimo paslaugos;Vnt. (vienetai);127;532,67;Neskelbiama apklausa raðtu;ERGO Insurance SE Lietuvos filialas;66516000-0;---
2016.01.27;Plaukimo mokykla „Delfinas“;Paslaugos;Apgyvendinimo paslaugos;Vnt. (vienetai);6;1152,09;Apklausa þodþiu;UAB „Tarzanija„;98341000-5;Nepasitelkiama
2016.01.27;Plaukimo mokykla „Delfinas“;Paslaugos;Narystës organizacijø teikiamos paslaugos;Vnt. (vienetai);1;90;Apklausa þodþiu;Lietuvos plaukimo federacija;98133000-4;Nepasitelkiama
2016.01.28;Lopðelis - darþelis „Bangelë“;Paslaugos;Su atliekomis susijusios paslaugos;Mën (mënesiai);36;750;Apklausa þodþiu;"UAB ""Amazis""";90500000-2;Nëra
2016.01.28;Sporto mokykla „Dubysa“;Prekës;"Kuprinës; Kilpiniø rankðluosèiø audiniai (kilpiniai rankðluosèiai)";Vnt. (vienetai);8;170,2;Apklausa þodþiu;IÁ PHYXIUS;"18931100-5; 19242000-4";nesitelkta
2016.01.29;Plaukimo mokykla „Delfinas“;Paslaugos;Sporto renginiø reklamos paslaugos;Vnt. (vienetai);1;21,03;Apklausa þodþiu;VÁ „Ðiauliai plius„;92621000-0;Nepasitelkiama
2016.01.30;Ðiauliø futbolo akademija;Paslaugos;"Autobusø remonto paslaugos (MAN); Ávairi transporto áranga ir atsarginës dalys";Vnt. (vienetai);17;183,21;Apklausa þodþiu;UAB Adampolis;"50113100-1; 34900000-6";-
2016.01.31;Plaukimo mokykla „Delfinas“;Prekës;"Benzinas.
Dyzelinis kuras";l (litrai);591;540,85;Apklausa þodþiu;"UAB ""Apsaga""";09132000-3 09134200;Nepasitelkiama
2016.01.31;Plaukimo mokykla „Delfinas“;Paslaugos;Automobiliø plovimo ir panaðios paslaugos;Vnt. (vienetai);4;14,4;Apklausa þodþiu;UAB „Lukoil Baltija„;50112300-6;Nepasitelkiama
2016.02.01;Plaukimo mokykla „Delfinas“;Prekës;Smulki biuro áranga;Vnt. (vienetai);12;44,01;Apklausa þodþiu;Charlot LT, UAB;30197000-6;Nepasitelkiama
2016.02.01;Plaukimo mokykla „Delfinas“;Paslaugos;Narystës organizacijø teikiamos paslaugos;Vnt. (vienetai);1;18;Apklausa þodþiu;Lietuvos plaukimo federacija;98133000-4;Nepasitelkiama
2016.02.01;Plaukimo mokykla „Delfinas“;Paslaugos;Laboratorijø paslaugos;Vnt. (vienetai);14;66,07;Apklausa þodþiu;Nacionalinë visuomenës sveikatos prieþiûros laboratorija;71900000-7;Nepasitelkiama
2016.02.02;Plaukimo mokykla „Delfinas“;Prekës;Geriamasis vanduo;Vnt. (vienetai);4;6,95;Apklausa þodþiu;„Sidabrinë srovë„ UAB;41110000-3;Nepasitelkiama
2016.02.05;Ðiauliø futbolo akademija;Paslaugos;Ávairios remonto ir prieþiûros paslaugos;Vnt. (vienetai);5;137,01;Neskelbiama apklausa raðtu;UAB Viva motor;50800000-3;-
2016.02.05;Sporto mokykla „Dubysa“;Prekës;Raktai;Vnt. (vienetai);10;22;Apklausa þodþiu;Kæstutis Jokubaitis, dirbantis pagal verslo liudijimà;44522200-7;nesitelkta
2016.02.06;Plaukimo mokykla „Delfinas“;Paslaugos;Apgyvendinimo paslaugos;Vnt. (vienetai);18;243,09;Apklausa þodþiu;UAB „Tarzanija„;98341000-5;Nepasitelkiama
2016.02.08;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Prekës;Ávairûs spaudiniai;Vnt. (vienetai);21;67,25;CPO;"UAB ,,Officeday""";22900000;Ne
2016.02.08;Plaukimo mokykla „Delfinas“;Paslaugos;Keleiviniø transporto priemoniø nuoma su vairuotoju;Vnt. (vienetai);1;380;Apklausa þodþiu;UAB„ Juozas veþa;60170000-0;Nepasitelkiama
2016.02.08;Plaukimo mokykla „Delfinas“;Paslaugos;Narystës organizacijø teikiamos paslaugos;Vnt. (vienetai);1;45;Apklausa þodþiu;Lietuvos plaukimo federacija;98133000-4;Nepasitelkiama
2016.02.12;Ðiauliø lengvosios atletikos ir sveikatingumo centras;Paslaugos;autobusø nuoma su vairuotoju;Mën (mënesiai);12;nuo vaþiavimø kiekio;Neskelbiama apklausa raðtu;UAB A. ir A. Ivaðkevièiaus;60171000-7;0
2016.02.15;Ðiauliø futbolo akademija;Paslaugos;"Remonto, prieþiûros ir kitos paslaugos, susijusios su asmeniniais kompiuteriais, biuro áranga, telekomunikacijø bei garso ir vaizdo áranga; Spausdintuvø kasetës";Vnt. (vienetai);20;133,87;Neskelbiama apklausa raðtu;E. Raudþio firma „Edas”;"50300000-8; 30237310-5";-
2016.02.15;Ðiauliø futbolo akademija;Prekës;"Dovanos ir apdovanojimai (sporto prizai); Ávairios paslaugos";Vnt. (vienetai);2405;2885,29;Neskelbiama apklausa raðtu;IÁ Saulës dukros;"18530000-3; 98300000-6";-
2016.02.17;Ðiauliø futbolo akademija;Paslaugos;"Autobusø remonto paslaugos (VW); Ávairi transporto áranga ir atsarginës dalys";Vnt. (vienetai);6;303,53;Apklausa þodþiu;UAB Transalda;"50113100-1; 34900000-6";-
2016.02.18;Dainavimo mokykla „Dagilëlis“;Prekës;Tualetinis popierius;m;9000;60,98;Supaprastintas atviras konkursas;"""LIBETA ir ko""";33761000-2;-
2016.02.18;Plaukimo mokykla „Delfinas“;Paslaugos;Draudimo paslaugos;Vnt. (vienetai);1;12,2;Apklausa þodþiu;„Vestekspress„ UAB;66510000-8;Nepasitelkiama
2016.02.18;Plaukimo mokykla „Delfinas“;Paslaugos;Gydytojø specialistø paslaugos;Vnt. (vienetai);1;41,7;Apklausa þodþiu;LSMU ligoninë Kauno klinikos;85121200-5;Nepasitelkiama
2016.02.19;Ðiauliø lengvosios atletikos ir sveikatingumo centras;Prekës;statybinës prekës;Vnt. (vienetai);6;18,84;Apklausa þodþiu;UAB Ermitaþas;44420000-0;0
2016.02.19;Ðiauliø futbolo akademija;Paslaugos;"Autobusø remonto paslaugos (MAN); Ávairi transporto áranga ir atsarginës dalys";Vnt. (vienetai);30;653,04;Apklausa þodþiu;UAB Autostilsas;"50113100-1; 34900000-6";-
2016.02.19;Ðiauliø futbolo akademija;Paslaugos;"Autobusø remonto paslaugos (VW); Ávairi transporto áranga ir atsarginës dalys";Vnt. (vienetai);7;225,36;Apklausa þodþiu;UAB Autostilsas;"50113100-1; 34900000-6";-
2016.02.19;Plaukimo mokykla „Delfinas“;Prekës;Mineralø papildai;Vnt. (vienetai);9;17,82;Apklausa þodþiu;UAB „Sportlita„;33617000-8;Nepasitelkiama
2016.02.19;Plaukimo mokykla „Delfinas“;Prekës;Mineralø papildai;Vnt. (vienetai);3;41,94;Apklausa þodþiu;UAB„ Sportlita„;33617000-8;Nepasitelkiama
2016.02.20;Ðiauliø futbolo akademija;Prekës;Tepalai, alyvos;Vnt. (vienetai);1;11,2;Apklausa þodþiu;UAB Apsaga;24951000-5;-
2016.02.21;Ðiauliø futbolo akademija;Prekës;Specializuoti chemijos produktai;Vnt. (vienetai);2;7,9;Apklausa þodþiu;UAB Apsaga;24950000-8;-
2016.02.22;Plaukimo mokykla „Delfinas“;Paslaugos;Reklamos paslaugos;Vnt. (vienetai);24;88,19;Apklausa þodþiu;UAB„ Garbaris„;79341000-6;Nepasitelkiama
2016.02.22;Plaukimo mokykla „Delfinas“;Paslaugos;Draudimo paslaugos;Vnt. (vienetai);1;41,65;Apklausa þodþiu;„Vestekspress„ UAB;66510000-8;Nepasitelkiama
2016.02.22;Plaukimo mokykla „Delfinas“;Paslaugos;Apgyvendinimo paslaugos;Vnt. (vienetai);1;1751,48;Apklausa þodþiu;Lietuvos plaukimo federacija;98341000-5;Nepasitelkiama
2016.02.22;Plaukimo mokykla „Delfinas“;Paslaugos;Mokomieji seminarai;Vnt. (vienetai);6;120;Apklausa þodþiu;UAB„ Sporto plëtros grupë„;80522000-9;Nepasitelkiama
2016.02.22;Plaukimo mokykla „Delfinas“;Paslaugos;Sporto salës árenginiai;Vnt. (vienetai);13;943,8;Apklausa þodþiu;"UAB ""Plienas""";37420000-8;Nepasitelkiama
2016.02.22;Plaukimo mokykla „Delfinas“;Prekës;"Mineralinis vanduo.
Grûdø malûno produktai, krakmolas ir krakmolo gaminiai";Vnt. (vienetai);291;79,85;Apklausa þodþiu;UAB „Osama„;15981000-8 15600000-4;Nepasitelkiama
2016.02.23;Ðiauliø lengvosios atletikos ir sveikatingumo centras;Paslaugos;paðto paslaugos, susijusios su laiðkais;Vnt. (vienetai);100;139,96;uþsakymas per CPO LT;UAB Bijusta;64112000-4;0
2016.02.23;Ðiauliø futbolo akademija;Paslaugos;"Autobusø remonto paslaugos (MAN); Ávairi transporto áranga ir atsarginës dalys";Vnt. (vienetai);12;108,23;Apklausa þodþiu;UAB Autostilsas;"50113100-1; 34900000-6";-
2016.02.23;Plaukimo mokykla „Delfinas“;Prekës;Geriamasis vanduo;Vnt. (vienetai);4;1,74;Apklausa þodþiu;„Sidabrinë srovë„ UAB;41110000-3;Nepasitelkiama
2016.02.23;Plaukimo mokykla „Delfinas“;Paslaugos;Laboratorijø paslaugos;Vnt. (vienetai);14;66,07;Apklausa þodþiu;Nacionalinë visuomenës sveikatos prieþiûros laboratorija;71900000-7;Nepasitelkiama
2016.02.25;Ðiauliø lengvosios atletikos ir sveikatingumo centras;Prekës;kreida;Vnt. (vienetai);100;10;Apklausa þodþiu;AB Lytagra;44922100-0;0
2016.02.25;Lopðelis-darþelis „Þilvitis“;Paslaugos;SKALBIMO PASLAUGA;Kg (kilogramai);720;531,43;CPO;"UAB ""ÐIAULIØ SKALBYKLA""";98310000-9;NE
2016.02.25;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Prekës;Valikliai ir poliravimo priemonës;Vnt. (vienetai);126;66,78;CPO;"UAB ,,Koslita""";39800000;Ne
2016.02.25;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Prekës;Biuro reikmenys;Vnt. (vienetai);323;63,71;CPO;"UAB ,,Eurobiuras""";30192000;Ne
2016.02.25;Ðiauliø futbolo akademija;Prekës;Dujinis kuras;l (litrai);50;18,32;Apklausa þodþiu;UAB Saurida;09120000-6;-
2016.02.25;Plaukimo mokykla „Delfinas“;Paslaugos;Vamzdiniø konstrukcijø valymo prapûtimo bûdu paslaugos;Vnt. (vienetai);1;119,79;Apklausa þodþiu;Lietuvos ir Baltarusijos ámonë Liebara;90912000-3;Nepasitelkiama
2016.02.25;Plaukimo mokykla „Delfinas“;Paslaugos;Dezinfekavimo ir naikinimo paslaugos;Vnt. (vienetai);1;10,72;Apklausa þodþiu;UAB „Ðiauliø dezinfektoriø brigada;90921000-9;Nepasitelkiama
2016.02.26;Lopðelis-darþelis „Þilvitis“;Paslaugos;Ávairios paslaugos (Profesinës rizikos vertinimas)                                                                     ;Mën (mënesiai);12;653,40 Eur;Apklausa þodþiu;"UAB ""Sabelija""";98300000-6;ne
2016.02.26;Plaukimo mokykla „Delfinas“;Prekës;Mineralø papildai;Vnt. (vienetai);6;54,83;Apklausa þodþiu;UAB„ Sovereina;33617000-8;Nepasitelkiama
2016.02.29;Stasio Ðalkauskio gimnazija;Prekës;Virtuves irenginiai, namu apyvokos ir pagaminto valgio tiekimo reikmenys;Vnt. (vienetai);590;301;Neskelbiama apklausa raðtu;"UAB ""Arkietë"""; 39220000-0 ;NËRA
2016.02.29;Lopðelis - darþelis „Bangelë“;Prekës;Ávairûs maisto produktai;Mën (mënesiai);11;5810,75;Apklausa þodþiu;"UAB ""Vilguva""";15800000-6;Nëra
2016.02.29;Ðiauliø futbolo akademija;Paslaugos;Remonto, prieþiûros ir kitos paslaugos, susijusios su asmeniniais kompiuteriais, biuro áranga, telekomunikacijø bei garso ir vaizdo áranga;Valandos;1;35;Apklausa þodþiu;UAB D&G Kompiuteriai;50300000-8;-
2016.02.29;Plaukimo mokykla „Delfinas“;Prekës;"Benzinas.
Dyzelinis kuras";l (litrai);745;631,02;Apklausa þodþiu;UAB „Apsaga„;09132000-3 09134200-9;Nepasitelkiama
2016.02.29;Plaukimo mokykla „Delfinas“;Paslaugos;Automobiliø plovimo ir panaðios paslaugos;Vnt. (vienetai);2;7,2;Apklausa þodþiu;UAB „Lukoil Baltija„;50112300-6;Nepasitelkiama
2016.02.29;Plaukimo mokykla „Delfinas“;Paslaugos;Mokomieji seminarai;Vnt. (vienetai);1;150;Apklausa þodþiu;Lietuvos sporto universitetas;80522000-9;Nepasitelkiama
2016.03.01;Plaukimo mokykla „Delfinas“;Prekës;Geriamasis vanduo;Vnt. (vienetai);1;1,74;Apklausa þodþiu;„Sidabrinë srovë„ UAB;41110000-3;Nepasitelkiama
2016.03.02;Ðiauliø sutrikusios klausos vaikø ugdymo centras;Prekës;Popieriniai higieniniai gaminiai;Vnt. (vienetai);122;57,21;CPO;"UAB ,,Libeta ir KO""";33760000;Ne
2016.03.02;Sporto mokykla „Dubysa“;Prekës;Transporto priemoniø ir su jomis susijusiø árenginiø remonto, prieþiûros ir kitos paslaugos;Vnt. (vienetai);1;125;Apklausa þodþiu;"Rasos Mikaliûnienës ámonë Autoservisas ""ARLITA""";50100000-6;nesitelkta
2016.03.03;Ðiauliø futbolo akademija;Prekës;"Kasos aparatai; Popieriniai arba kartoniniai þurnalai, apskaitos knygos, segtuvai, blankai ir kiti spausdinti raðtinës reikmenys; Kasos aparatø juostos";Vnt. (vienetai);8;250;Apklausa þodþiu;Romualdo Slonskio ámonë „Romasas“;"30142200-8; 22800000-8; 30192350-9";-
2016.03.04;Ðiauliø lengvosios atletikos ir sveikatingumo centras;Prekës;statybinës prekës;Vnt. (vienetai);2;6,28;Apklausa þodþiu;UAB Ermitaþas;44420000-0;0
2016.03.04;Vieðosios tvarkos ir civilinës saugos skyrius;Paslaugos;Kitos paslaugos;Mën (mënesiai);12;11000;Skelbiama apklausa raðtu;"AB ""Specializuotas transportas""";98390000-3;Nëra
2016.03.07;Stasio Ðalkauskio gimnazija;Paslaugos;Centrinio ðildymo remonto ir prieþiuros paslaugos;Paslaugø kiekis;2;3714,7;Neskelbiama apklausa raðtu;" UAB ""Revisma""";50720000-8 ;NËRA
2016.03.07;Ðiauliø futbolo akademija;Prekës;"Skalbikliai; Valikliai; Gaivikliai";Vnt. (vienetai);22;33,4;Apklausa þodþiu;UAB Kosvila Baltic;"39831000-6; 39830000-9; 39811100-1";-
2016.03.07;Ðiauliø futbolo akademija;Paslaugos;Keleiviø transporto priemoniø nuoma su vairuotoju;Kilometrai;334;150;Apklausa þodþiu;UAB Juozas veþa;60170000-0;-
